Region,Subregion,Locality,Place,CollectingArea,Member,Formation,Order,Family,Subfamily,Tribe,GenusQualifier,Genus,SpeciesQualifier,Species,Subspecies,min_ma,max_ma,n_species,Delete
Tugen Hills,Tugen Hills,Chemeron (BPRP 150),NA,NA,Chemeron,Chemeron,Artiodactyla,Bovidae,Bovinae,Tragelaphini,NA,Tragelaphus,NA,nakuae,NA,2.903,2.903,12,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 150),NA,NA,Chemeron,Chemeron,Artiodactyla,Giraffidae,NA,NA,NA,gen,NA,sp,NA,2.903,2.903,12,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 152),NA,NA,Chemeron,Chemeron,Proboscidea,Elephantidae,Elephantinae,Elephantini,NA,Elephas,NA,recki,NA,2.59,2.9193,9,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 152),NA,NA,Chemeron,Chemeron,Perissodactyla,Equidae,Equinae,Hipparionini,NA,Hipparion,NA,sp,NA,2.59,2.9193,9,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 152),NA,NA,Chemeron,Chemeron,Artiodactyla,Suidae,Suinae,NA,NA,Metridiochoerus,NA,jacksoni,NA,2.59,2.9193,9,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 152),NA,NA,Chemeron,Chemeron,Artiodactyla,Bovidae,Bovinae,Bovini,NA,Simatherium,NA,sp,NA,2.59,2.9193,9,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 152),NA,NA,Chemeron,Chemeron,Primates,Cercopithecidae,Cercopithecinae,Papionini,NA,Theropithecus,NA,brumpti,NA,2.59,2.9193,9,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 152),NA,NA,Chemeron,Chemeron,Artiodactyla,Bovidae,Reduncinae,Reduncini,NA,gen,NA,sp,NA,2.59,2.9193,9,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 154),NA,NA,Chemeron,Chemeron,Artiodactyla,Giraffidae,Giraffinae,NA,NA,Giraffa,NA,stillei,NA,3.5,3.5,10,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 154),NA,NA,Chemeron,Chemeron,Artiodactyla,Suidae,Suinae,NA,NA,Kolpochoerus,NA,heseloni,NA,3.5,3.5,10,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 154),NA,NA,Chemeron,Chemeron,Artiodactyla,Suidae,Tetraconodontinae,NA,NA,Notochoerus,NA,sp,NA,3.5,3.5,10,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 154),NA,NA,Chemeron,Chemeron,Primates,Cercopithecidae,Colobinae,Colobini,NA,Paracolobus,NA,sp,NA,3.5,3.5,10,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 154),NA,NA,Chemeron,Chemeron,Artiodactyla,Bovidae,Bovinae,Bovini,NA,Pelorovis,NA,turkanensis,NA,3.5,3.5,10,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 154),NA,NA,Chemeron,Chemeron,Artiodactyla,Bovidae,Bovinae,Bovini,NA,Simatherium,NA,kohllarseni,NA,3.5,3.5,10,NA
